machine,impl,language,mode,fp_label,N,gflops,variant,memory_model,optimization_param
miyabi,do-concurrent,f90,gpu,FP32,16777216,1405.614,auto.def,managed,
wisteria,do-concurrent,f90,gpu,FP32,16777216,705.569,auto.opt,managed,
miyabi,kokkos,cpp,gpu,FP32,16777216,1956.945,range/uvm-fused,kokkos-uvm,
wisteria,kokkos,cpp,gpu,FP32,16777216,1250.508,mdrange/uvm-tile-sweep,kokkos-uvm,x1y2z64
miyabi,openacc,cpp,gpu,FP32,16777216,1605.872,manu.opt,separate,NTHREADS=128
wisteria,openacc,cpp,gpu,FP32,16777216,899.7232,auto.def,managed,
miyabi,openmp-cpu,cpp,cpu,FP32,16777216,119.6712,,cpu-only,
wisteria,openmp-cpu,cpp,cpu,FP32,16777216,24.51663,,cpu-only,
miyabi,openmp-target,cpp,gpu,FP32,16777216,1619.074,manu.opt,separate,NTHREADS=128
wisteria,openmp-target,cpp,gpu,FP32,16777216,881.9235,manu.opt,separate,NTHREADS=128
miyabi,stdpar,cpp,gpu,FP32,16777216,1984.841,auto.def,managed,
wisteria,stdpar,cpp,gpu,FP32,16777216,948.1406,auto.opt,managed,NTHREADS=128
miyabi,do-concurrent,f90,gpu,FP64,16777216,1309.808,auto.def,managed,
wisteria,do-concurrent,f90,gpu,FP64,16777216,665.7319,auto.opt,managed,
miyabi,kokkos,cpp,gpu,FP64,16777216,1915.521,range/baseline-fused,kokkos-default,
wisteria,kokkos,cpp,gpu,FP64,16777216,982.1644,range/uvm-fused,kokkos-uvm,
miyabi,openacc,cpp,gpu,FP64,16777216,1482.714,manu.opt,separate,NTHREADS=128
wisteria,openacc,cpp,gpu,FP64,16777216,206.595,auto.def,managed,
miyabi,openmp-cpu,cpp,cpu,FP64,16777216,51.48846,,cpu-only,
wisteria,openmp-cpu,cpp,cpu,FP64,16777216,24.14782,,cpu-only,
miyabi,openmp-target,cpp,gpu,FP64,16777216,1500.526,manu.opt,separate,NTHREADS=128
wisteria,openmp-target,cpp,gpu,FP64,16777216,865.6523,manu.opt,separate,NTHREADS=128
miyabi,stdpar,cpp,gpu,FP64,16777216,1507.759,auto.def,managed,
wisteria,stdpar,cpp,gpu,FP64,16777216,760.1246,auto.opt,managed,NTHREADS=128
