category,machine,mode,language,impl,variant,memory_model,optimization_type,optimization_param,fp,N,time_sec,performance_gflops,error,real_sec,user_sec,sys_sec,source_file
non-Kokkos,wisteria,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,4913,0.012589,1.491611,1736.643,,,,mizuho/Wisteria/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,35937,0.028375,10.08608,13887.51,,,,mizuho/Wisteria/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,274625,0.12923,34.71389,111089.4,,,,mizuho/Wisteria/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,4913,0.010448,1.37485,1736.636,,,,mizuho/Wisteria/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,35937,0.022274,10.01209,13887.39,,,,mizuho/Wisteria/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,274625,0.098412,35.52771,111087.8,,,,mizuho/Wisteria/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,auto.def,managed,baseline,,32,4913,0.010824,1.626132,1736.626,,,,mizuho/Wisteria/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,auto.def,managed,baseline,,32,35937,0.027021,9.004738,13887.06,,,,mizuho/Wisteria/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,auto.def,managed,baseline,,32,274625,0.219986,21.51732,111080.7,,,,mizuho/Wisteria/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,auto.def,managed,baseline,,64,4913,0.009134,1.572662,1736.636,,,,mizuho/Wisteria/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,auto.def,managed,baseline,,64,35937,0.026804,8.319928,13887.39,,,,mizuho/Wisteria/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,cpp,openacc,auto.def,managed,baseline,,64,274625,0.185924,18.80531,111087.8,,,,mizuho/Wisteria/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,f90,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,4913,0.011267,1.588281,1736.644,,,,mizuho/Wisteria/D2.F90.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,f90,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,35937,0.027516,10.40096,13887.5,,,,mizuho/Wisteria/D2.F90.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,f90,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,274625,0.116133,40.60711,111089.4,,,,mizuho/Wisteria/D2.F90.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,wisteria,gpu,f90,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,4913,0.009182,1.564413,1736.636,,,,mizuho/Wisteria/D2.F90.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,f90,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,35937,0.022259,10.01874,13887.39,,,,mizuho/Wisteria/D2.F90.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,f90,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,274625,0.097081,36.01484,111087.8,,,,mizuho/Wisteria/D2.F90.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,wisteria,gpu,f90,do-concurrent,auto.def,managed,baseline,,32,4913,0.010781,1.74178,1736.632,,,,mizuho/Wisteria/F1.F90.std.auto.def/log/bench.gpu.32_run.csv
