machine,impl,language,fp_label,N,gflops,variant,memory_model,optimization_param
miyabi,do-concurrent,f90,FP32,274625,128.4901,auto.opt,unified,
wisteria,do-concurrent,f90,FP32,274625,69.33413,auto.opt,managed,
miyabi,kokkos,cpp,FP32,274625,122.0255,team/baseline,kokkos-default,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)"
miyabi,openacc,cpp,FP32,274625,79.97709,auto.opt,unified,NTHREADS=128
wisteria,openacc,cpp,FP32,274625,41.77446,auto.opt,managed,NTHREADS=128
miyabi,openmp-cpu,f90,FP32,274625,19.66697,,cpu-only,node=miyabi-c(Intel)
wisteria,openmp-cpu,cpp,FP32,274625,3.248059,,cpu-only,
miyabi,openmp-target,cpp,FP32,274625,100.7211,auto.opt,managed,NTHREADS=128
wisteria,openmp-target,cpp,FP32,274625,71.72691,auto.opt,managed,NTHREADS=128
miyabi,stdpar,cpp,FP32,274625,137.7615,auto.opt,unified,
wisteria,stdpar,cpp,FP32,274625,86.44495,auto.opt,managed,NTHREADS=128
miyabi,do-concurrent,f90,FP64,274625,103.9502,auto.def,unified,
wisteria,do-concurrent,f90,FP64,274625,59.38911,auto.def,managed,
miyabi,kokkos,cpp,FP64,274625,97.06388,team/baseline,kokkos-default,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)"
wisteria,kokkos,cpp,FP64,274625,47.99664,range/cpu-sweep,kokkos-default,
miyabi,openacc,cpp,FP64,274625,74.66219,auto.opt,unified,NTHREADS=128
wisteria,openacc,cpp,FP64,274625,41.66247,auto.opt,managed,NTHREADS=128
miyabi,openmp-cpu,f90,FP64,274625,13.56664,,cpu-only,node=miyabi-c(Intel)
wisteria,openmp-cpu,cpp,FP64,274625,14.10876,,cpu-only,
miyabi,openmp-target,cpp,FP64,274625,87.57965,auto.opt,managed,NTHREADS=128
wisteria,openmp-target,cpp,FP64,274625,65.27309,auto.opt,managed,NTHREADS=128
miyabi,stdpar,cpp,FP64,274625,115.3272,auto.def,unified,
wisteria,stdpar,cpp,FP64,274625,72.28941,auto.opt,managed,NTHREADS=128
