category,machine,mode,language,impl,variant,memory_model,optimization_type,optimization_param,fp,N,time_sec,performance_gflops,error,real_sec,user_sec,sys_sec,source_file,energy_error_final,virial_ratio_final,dt,energy_error_worst,interactions_per_sec,step,time_per_step_sec
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),1024,,855.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,38900000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),2048,,1110.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,50500000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),4096,,1200.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,54600000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),8192,,1230.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,56000000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),16384,,1240.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,56500000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),32768,,1250.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,56800000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),65536,,877.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,39900000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),131072,,361.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,16400000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),262144,,323.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,14700000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),524288,,372.0,0.0000825,,,,legacy A1 OpenACC,0.0000825,0.484,,,16900000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),1024,,93.3,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4240000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),2048,,97.6,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4440000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),4096,,96.1,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4370000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),8192,,99.5,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4520000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),16384,,96.2,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4370000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),32768,,95.6,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4350000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),65536,,99.6,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4530000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),131072,,99.3,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4510000000,,
non-Kokkos,miyabi,cpu,cpp,openacc,auto.def,unified,baseline,-,64 (FP_L=FP_M=64),262144,,100.0,0.000161,,,,legacy A1 OpenACC,0.000161,0.483,,,4560000000,,
